ums,nach,pers,umse,nache,perse,pdwichtig,umheute,aspekte,aufwand,behoerde,beh_grund,unsicher,datengm,ds_unter,ds_forsch,kund_dat,a_positiv,a_rsicher,a_gefahr,a_aufwand,a_kompliz,a_vorteil,a_vertrau,a_inno,a_kost,a_berat,a_proz,a_stand,a_ki,a_forsch,a_nachteil,erf_speich,si_speich,erf_intern,si_intern,erf_extunt,si_extunt,erf_forsch,si_forsch,br_zahl,br08,bges,gk9,gk4,aweight,online,vg,br04,br07
gleich,hoch,gleich,hoch,hoch,gleich,2,5,2,3,3,,1,2,3,3,5,2,4,3,5,5,1,2,4,5,3,3,3,4,3,1,1,5,1,5,1,5,1,5,1,IKT-Dienstleister,31,20-49,20-99,127.1875,1,Infowi,IKT-Branche,IKT-Branche
gleich,gleich,gleich,hoch,hoch,hoch,5,5,2,3,3,,2,5,3,3,5,1,3,2,5,5,1,3,4,5,3,3,4,2,2,3,,,,,,,,,,ReSteuWip,60,50-99,20-99,86.62222222222222,0,Infowi,Wissensintensive Dienstleister,Wissensintensive Dienstleister
runter,runter,runter,runter,runter,gleich,5,4,3,3,3,,2,5,3,3,4,1,3,3,5,5,3,3,3,5,5,5,3,1,1,1,1,5,2,3,1,5,1,3,1,techDL,50,50-99,20-99,83.43636363636364,1,Infowi,Wissensintensive Dienstleister,Wissensintensive Dienstleister
gleich,gleich,gleich,gleich,gleich,gleich,4,5,2,3,3,,2,5,1,3,5,3,4,3,5,5,3,3,3,4,5,5,3,2,1,1,1,3,2,3,2,3,2,3,1,UBeratung,4,5-9,5-19,205.9583333333333,1,Infowi,Wissensintensive Dienstleister,Wissensintensive Dienstleister
gleich,gleich,gleich,gleich,gleich,gleich,1,4,2,3,3,,2,1,3,3,3,1,1,1,3,3,1,1,5,3,2,2,1,1,1,5,1,2,1,2,1,2,1,2,1,techDL,45,20-49,20-99,83.43636363636364,1,Infowi,Wissensintensive Dienstleister,Wissensintensive Dienstleister
hoch,hoch,hoch,hoch,hoch,hoch,5,5,3,3,3,,1,5,3,,5,1,1,1,1,1,1,1,3,2,2,4,4,2,1,2,,,,,,,,,,ReSteuWip,212,100-249,>=100,22.07692307692308,0,Infowi,Wissensintensive Dienstleister,Wissensintensive Dienstleister
hoch,hoch,hoch,gleich,gleich,gleich,4,4,3,3,3,,2,5,2,1,2,1,1,4,1,1,4,1,4,1,1,1,2,2,2,4,1,4,2,4,1,4,1,4,3,Werbung,126.75,100-249,>=100,28.5,1,Infowi,Wissensintensive Dienstleister,Wissensintensive Dienstleister
hoch,hoch,hoch,hoch,hoch,gleich,5,5,2,3,2,Meldung eines Vorfalls,2,5,3,3,5,2,3,2,5,5,2,2,4,4,3,4,3,4,4,5,1,5,2,5,1,5,1,5,3,IKT-Dienstleister,320,250-499,>=100,35.70454545454545,1,Infowi,IKT-Branche,IKT-Branche
gleich,gleich,hoch,gleich,gleich,gleich,3,2,2,3,3,,2,2,3,3,5,3,3,4,4,4,4,3,3,3,3,3,3,3,3,3,,,,,,,,,,sonstigeDL,20,20-49,20-99,32.41176470588236,0,Infowi,Wissensintensive Dienstleister,Wissensintensive Dienstleister
runter,gleich,gleich,hoch,gleich,hoch,3,3,2,3,3,,2,4,3,1,5,4,4,2,4,3,3,3,3,3,3,4,4,3,2,3,1,4,2,3,1,4,1,4,,techDL,390,250-499,>=100,27.52,1,Infowi,Wissensintensive Dienstleister,Wissensintensive Dienstleister
runter,runter,runter,hoch,gleich,hoch,2,4,2,2,3,,2,2,3,3,5,1,2,1,2,2,1,2,1,2,3,2,1,1,1,3,,,,,,,,,,techDL,40,20-49,20-99,83.43636363636364,0,Infowi,Wissensintensive Dienstleister,Wissensintensive Dienstleister
gleich,hoch,gleich,gleich,gleich,hoch,5,4,3,3,3,,3,5,1,3,,3,1,1,4,4,1,1,1,5,5,3,3,2,1,1,,,,,,,,,,ReSteuWip,36,20-49,20-99,86.62222222222222,0,Infowi,Wissensintensive Dienstleister,Wissensintensive Dienstleister
hoch,hoch,hoch,hoch,hoch,hoch,5,5,3,3,2,,1,5,3,3,5,1,1,1,5,5,3,1,3,5,5,1,3,4,5,5,,,,,,,,,,ReSteuWip,21,20-49,20-99,86.62222222222222,0,Infowi,Wissensintensive Dienstleister,Wissensintensive Dienstleister
runter,runter,runter,gleich,gleich,gleich,1,3,2,2,3,,1,1,3,3,,,,,,,,,,,,,,,,,,,,,,,,,,Werbung,6,5-9,5-19,169.0416666666667,0,Infowi,Wissensintensive Dienstleister,Wissensintensive Dienstleister
gleich,,,gleich,gleich,gleich,3,3,3,3,3,,2,3,3,3,4,1,3,3,4,4,3,3,3,4,3,4,3,2,2,,,,,,,,,,,techDL,30,20-49,20-99,83.43636363636364,0,Infowi,Wissensintensive Dienstleister,Wissensintensive Dienstleister
gleich,runter,hoch,gleich,gleich,gleich,1,5,3,3,3,,1,5,3,3,5,1,4,1,5,5,1,4,1,5,2,5,4,,1,,1,4,1,4,1,4,1,4,2,UBeratung,45,20-49,20-99,96.14285714285714,1,Infowi,Wissensintensive Dienstleister,Wissensintensive Dienstleister
gleich,hoch,gleich,gleich,hoch,gleich,5,4,2,4,3,,2,4,3,3,4,1,3,3,5,4,1,2,4,4,1,4,3,4,,5,,,,,,,,,,techDL,12,10-19,5-19,289.140350877193,0,Infowi,Wissensintensive Dienstleister,Wissensintensive Dienstleister
gleich,hoch,gleich,gleich,hoch,gleich,5,3,3,3,3,,3,5,3,3,5,2,2,4,4,4,3,4,3,4,4,3,3,4,1,1,,,,,,,,,,ReSteuWip,24,20-49,20-99,86.62222222222222,0,Infowi,Wissensintensive Dienstleister,Wissensintensive Dienstleister
hoch,hoch,hoch,hoch,hoch,hoch,5,5,1,2,3,,1,5,1,3,5,1,3,1,2,3,4,2,1,4,3,3,2,1,1,3,1,5,2,5,1,5,1,5,2,UBeratung,43,20-49,20-99,96.14285714285714,1,Infowi,Wissensintensive Dienstleister,Wissensintensive Dienstleister
gleich,gleich,gleich,hoch,hoch,gleich,5,5,2,4,3,,1,5,3,3,5,2,4,2,4,5,1,2,3,5,2,3,3,2,4,4,,,,,,,,,,Werbung,50,50-99,20-99,39.93333333333333,0,Infowi,Wissensintensive Dienstleister,Wissensintensive Dienstleister
hoch,hoch,gleich,gleich,gleich,hoch,5,5,2,2,3,,1,5,3,3,4,3,5,1,3,3,3,4,1,4,1,4,5,1,3,2,1,4,2,4,1,3,1,3,3,IKT-Dienstleister,185,100-249,>=100,35.70454545454545,1,Infowi,IKT-Branche,IKT-Branche
gleich,hoch,gleich,gleich,hoch,gleich,1,4,2,2,2,Umfang der Maßnahmen,2,1,3,3,3,1,3,2,3,3,,1,,3,2,1,2,,,,1,,1,,1,,1,,1,techDL,9,5-9,5-19,289.140350877193,1,Infowi,Wissensintensive Dienstleister,Wissensintensive Dienstleister
hoch,gleich,hoch,hoch,gleich,hoch,1,5,2,3,3,,2,5,3,3,5,1,3,1,2,4,1,2,2,4,1,2,4,2,1,4,,,,,,,,,,ReSteuWip,70,50-99,20-99,86.62222222222222,0,Infowi,Wissensintensive Dienstleister,Wissensintensive Dienstleister
gleich,hoch,gleich,gleich,hoch,hoch,5,5,2,3,3,,1,5,1,3,4,1,2,1,3,3,2,1,1,3,3,4,4,4,4,2,1,4,1,4,1,4,2,3,1,UBeratung,22,20-49,20-99,96.14285714285714,1,Infowi,Wissensintensive Dienstleister,Wissensintensive Dienstleister
runter,runter,gleich,runter,runter,gleich,3,3,2,2,3,,2,4,3,3,4,3,3,2,4,4,3,3,4,4,4,4,3,3,3,3,2,3,2,3,1,3,1,3,2,techDL,65,50-99,20-99,83.43636363636364,1,Infowi,Wissensintensive Dienstleister,Wissensintensive Dienstleister
gleich,gleich,gleich,gleich,gleich,gleich,3,3,2,3,3,,2,3,3,3,4,2,3,3,4,4,1,2,1,2,2,2,1,1,1,1,1,4,2,3,1,3,1,3,2,UBeratung,8,5-9,5-19,205.9583333333333,1,Infowi,Wissensintensive Dienstleister,Wissensintensive Dienstleister
runter,runter,gleich,hoch,hoch,gleich,3,4,2,3,3,,1,3,3,3,4,1,1,1,3,2,1,2,1,3,5,2,2,1,1,1,1,4,2,4,1,5,1,5,1,techDL,55,50-99,20-99,83.43636363636364,1,Infowi,Wissensintensive Dienstleister,Wissensintensive Dienstleister
hoch,hoch,hoch,hoch,hoch,hoch,5,5,2,3,3,,1,5,1,3,5,4,5,2,5,4,3,4,3,5,5,4,5,4,4,2,1,4,2,4,2,4,2,4,2,IKT-Dienstleister,175,100-249,>=100,35.70454545454545,1,Infowi,IKT-Branche,IKT-Branche
runter,runter,runter,runter,runter,runter,2,5,3,3,3,,2,3,3,3,2,1,2,3,5,5,1,1,2,5,5,2,2,2,1,3,1,3,2,3,1,3,1,3,1,IKT-Dienstleister,30,20-49,20-99,127.1875,1,Infowi,IKT-Branche,IKT-Branche
hoch,gleich,gleich,gleich,gleich,gleich,5,5,2,3,3,,1,4,1,,5,3,4,3,5,4,3,3,4,4,5,5,5,5,4,5,,,,,,,,,,IKT-Dienstleister,15,10-19,5-19,315.4047619047619,0,Infowi,IKT-Branche,IKT-Branche
runter,runter,gleich,gleich,runter,gleich,4,5,1,2,3,,1,4,3,3,3,2,4,1,4,2,2,3,1,4,3,5,5,2,,1,1,4,2,4,1,4,1,3,2,Sonstiges VG,22,20-49,20-99,242.8137254901961,1,VG,VG,Sonstiges VG
runter,runter,gleich,gleich,runter,gleich,1,2,3,3,3,,3,3,3,3,2,1,1,2,3,2,1,1,2,3,3,1,2,1,1,1,,,,,,,,,,techDL,4,5-9,5-19,289.140350877193,0,Infowi,Wissensintensive Dienstleister,Wissensintensive Dienstleister
hoch,hoch,hoch,hoch,hoch,hoch,5,5,2,3,3,,1,5,3,3,5,1,2,1,3,3,1,1,1,5,5,4,1,1,1,1,1,5,,5,1,5,1,5,1,ReSteuWip,82,50-99,20-99,86.62222222222222,1,Infowi,Wissensintensive Dienstleister,Wissensintensive Dienstleister
runter,runter,gleich,gleich,gleich,gleich,2,1,2,2,3,,2,3,3,,4,1,1,3,2,3,1,2,3,1,1,1,2,1,1,3,1,3,2,3,1,4,1,3,2,UBeratung,10,10-19,5-19,205.9583333333333,1,Infowi,Wissensintensive Dienstleister,Wissensintensive Dienstleister
hoch,hoch,hoch,hoch,hoch,hoch,5,5,2,2,3,,2,5,3,3,5,3,2,1,3,2,3,4,3,2,4,5,1,1,1,1,,,,,,,,,,IKT-Dienstleister,262,250-499,>=100,35.70454545454545,0,Infowi,IKT-Branche,IKT-Branche
gleich,gleich,runter,gleich,gleich,runter,4,4,3,3,3,,1,5,1,3,2,1,1,3,5,3,1,1,1,5,5,2,3,1,1,1,,,,,,,,,,techDL,40,20-49,20-99,83.43636363636364,0,Infowi,Wissensintensive Dienstleister,Wissensintensive Dienstleister
gleich,hoch,runter,hoch,hoch,gleich,2,1,3,4,3,,3,1,3,3,3,3,4,3,5,5,5,3,3,5,4,3,1,3,3,3,2,1,2,1,2,1,1,1,1,Maschinenbau,11,10-19,5-19,155.2,1,VG,VG,Maschinenbau
runter,runter,gleich,hoch,gleich,gleich,1,5,3,2,3,,2,2,3,3,3,1,1,2,5,2,1,1,2,3,5,1,1,1,1,4,1,4,2,4,1,4,1,4,2,techDL,130,100-249,>=100,27.52,1,Infowi,Wissensintensive Dienstleister,Wissensintensive Dienstleister
runter,hoch,gleich,gleich,runter,gleich,1,1,2,2,3,,2,5,3,3,5,1,2,1,2,1,3,1,1,1,1,4,1,1,1,3,,,,,,,,,,techDL,6,5-9,5-19,289.140350877193,0,Infowi,Wissensintensive Dienstleister,Wissensintensive Dienstleister
gleich,hoch,runter,hoch,hoch,hoch,5,4,2,3,3,,2,5,3,,4,3,,1,4,2,1,4,1,4,4,4,2,1,3,2,1,5,2,4,1,5,1,5,4,ReSteuWip,25,20-49,20-99,86.62222222222222,1,Infowi,Wissensintensive Dienstleister,Wissensintensive Dienstleister
gleich,gleich,gleich,gleich,gleich,gleich,5,5,2,3,3,,1,5,1,3,5,1,5,2,1,1,5,4,4,5,1,5,4,3,1,1,,,,,,,,,,ReSteuWip,35,20-49,20-99,86.62222222222222,0,Infowi,Wissensintensive Dienstleister,Wissensintensive Dienstleister
runter,runter,runter,gleich,gleich,gleich,3,4,3,4,,,2,2,3,3,4,1,3,3,5,4,2,2,3,4,4,2,2,3,1,4,1,4,2,4,1,3,1,3,1,sonstigeDL,12,10-19,5-19,114.8181818181818,1,Infowi,Wissensintensive Dienstleister,Wissensintensive Dienstleister
gleich,gleich,gleich,gleich,gleich,gleich,2,4,2,2,3,,1,4,3,3,4,3,4,2,3,2,2,4,2,4,4,4,4,2,2,2,1,4,1,4,1,4,2,2,1,FuE,14,10-19,5-19,67.42105263157895,1,Infowi,Wissensintensive Dienstleister,Wissensintensive Dienstleister
hoch,hoch,gleich,,hoch,gleich,5,5,1,2,3,,2,5,3,3,5,3,5,1,4,2,2,4,2,4,1,4,5,2,1,1,1,5,2,4,1,5,1,5,1,IKT-Dienstleister,6,5-9,5-19,315.4047619047619,1,Infowi,IKT-Branche,IKT-Branche
gleich,gleich,gleich,gleich,gleich,gleich,4,2,2,3,3,,2,5,3,3,5,2,3,3,4,4,2,3,2,4,4,4,3,2,2,3,,3,2,5,1,3,1,3,1,IKT-Hardware,90,50-99,20-99,14.84848484848485,1,Infowi,IKT-Branche,IKT-Branche
runter,runter,gleich,runter,runter,gleich,3,4,2,3,3,,1,5,3,3,5,4,4,2,4,4,3,2,2,4,4,3,4,2,3,3,,,,,,,,,1,IKT-Dienstleister,35,20-49,20-99,127.1875,1,Infowi,IKT-Branche,IKT-Branche
hoch,gleich,runter,gleich,gleich,runter,1,5,3,3,3,,1,4,3,3,1,1,2,2,5,4,1,1,3,4,3,4,2,4,3,5,1,4,1,4,1,4,1,4,3,Chemie/Pharma,118,100-249,>=100,15.38297872340426,1,VG,VG,Chemie/Pharma
runter,runter,gleich,hoch,,gleich,3,1,3,1,3,,3,3,3,3,3,1,2,3,4,5,2,2,4,1,4,2,2,1,3,4,1,2,2,2,1,5,1,5,1,techDL,8,5-9,5-19,289.140350877193,1,Infowi,Wissensintensive Dienstleister,Wissensintensive Dienstleister
hoch,gleich,gleich,hoch,gleich,hoch,5,5,1,3,3,,1,5,3,3,4,1,5,1,5,2,1,3,1,4,5,2,2,2,1,1,,,,,,,,,,UBeratung,19,10-19,5-19,205.9583333333333,0,Infowi,Wissensintensive Dienstleister,Wissensintensive Dienstleister
gleich,gleich,gleich,runter,runter,gleich,4,4,2,3,3,,1,3,3,3,4,1,1,1,3,3,2,4,2,3,4,4,2,1,1,1,1,5,1,3,1,4,1,4,2,FuE,150,100-249,>=100,19.375,1,Infowi,Wissensintensive Dienstleister,Wissensintensive Dienstleister
hoch,gleich,gleich,gleich,gleich,hoch,2,4,2,2,3,,1,3,2,2,4,3,3,3,2,3,1,3,1,2,1,3,3,1,1,1,1,3,2,3,1,3,1,3,4,FuE,32,20-49,20-99,26.85714285714286,1,Infowi,Wissensintensive Dienstleister,Wissensintensive Dienstleister
gleich,runter,gleich,gleich,gleich,gleich,3,3,2,2,3,,2,3,3,3,5,5,5,3,3,3,2,3,3,3,2,3,3,2,2,2,1,5,2,5,1,5,1,5,1,techDL,8,5-9,5-19,289.140350877193,1,Infowi,Wissensintensive Dienstleister,Wissensintensive Dienstleister
runter,runter,hoch,gleich,gleich,gleich,5,5,3,4,3,,2,5,3,3,5,2,4,3,5,5,1,3,3,4,2,5,3,1,1,2,1,3,1,5,1,5,1,5,3,IKT-Dienstleister,55,50-99,20-99,127.1875,1,Infowi,IKT-Branche,IKT-Branche
hoch,gleich,hoch,hoch,gleich,hoch,3,4,2,4,1,,2,5,3,3,4,4,4,3,4,4,3,3,4,4,4,4,4,3,3,2,,,,,,,,,,IKT-Dienstleister,625,500-999,>=100,35.70454545454545,0,Infowi,IKT-Branche,IKT-Branche
hoch,gleich,gleich,hoch,hoch,gleich,4,4,2,2,3,,2,3,3,3,5,2,4,3,3,2,2,4,2,2,2,3,3,2,1,2,2,,2,2,1,3,1,3,3,IKT-Dienstleister,298,250-499,>=100,35.70454545454545,1,Infowi,IKT-Branche,IKT-Branche
hoch,runter,gleich,runter,gleich,gleich,5,5,2,3,3,,1,5,1,3,5,1,5,1,4,2,1,2,1,5,5,4,4,2,1,4,,4,2,2,1,4,1,4,1,IKT-Hardware,220,100-249,>=100,8.576923076923077,1,Infowi,IKT-Branche,IKT-Branche
gleich,gleich,gleich,hoch,hoch,hoch,5,5,1,2,3,,1,5,1,3,5,3,5,1,4,4,1,4,2,5,5,5,5,1,1,1,1,5,1,5,1,5,1,5,3,IKT-Dienstleister,29,20-49,20-99,127.1875,1,Infowi,IKT-Branche,IKT-Branche
hoch,hoch,hoch,hoch,hoch,hoch,4,5,3,4,1,,4,4,3,3,4,2,1,3,5,5,1,3,4,5,5,2,4,4,5,5,,,,,,,,,,FuE,50,50-99,20-99,26.85714285714286,0,Infowi,Wissensintensive Dienstleister,Wissensintensive Dienstleister
runter,runter,runter,gleich,gleich,runter,2,4,3,4,2,Hackerangriff,2,3,1,3,2,1,1,3,5,4,1,1,3,4,5,5,4,2,3,3,2,,2,5,1,3,1,2,2,IKT-Dienstleister,70,50-99,20-99,127.1875,1,Infowi,IKT-Branche,IKT-Branche
gleich,gleich,gleich,gleich,gleich,gleich,1,5,3,4,3,,4,,1,1,5,1,1,5,5,5,1,1,1,5,1,5,1,5,5,5,1,5,1,5,,5,1,5,1,FuE,34,20-49,20-99,26.85714285714286,1,Infowi,Wissensintensive Dienstleister,Wissensintensive Dienstleister
hoch,hoch,hoch,hoch,hoch,hoch,5,5,2,4,3,,2,5,1,3,5,3,3,1,5,5,1,2,1,5,5,2,3,2,1,1,1,2,1,5,2,5,2,5,2,techDL,24,20-49,20-99,83.43636363636364,1,Infowi,Wissensintensive Dienstleister,Wissensintensive Dienstleister
runter,gleich,gleich,hoch,gleich,gleich,5,5,2,3,3,,1,5,3,3,5,1,2,3,5,4,1,3,3,5,4,2,2,3,3,3,1,3,1,3,1,4,1,5,2,ReSteuWip,50,50-99,20-99,86.62222222222222,1,Infowi,Wissensintensive Dienstleister,Wissensintensive Dienstleister
gleich,gleich,gleich,gleich,gleich,gleich,5,4,3,3,3,,2,5,1,,5,1,3,1,4,4,2,3,4,4,4,4,3,4,1,3,,,,,,,,,,ReSteuWip,11,10-19,5-19,604.1142857142858,0,Infowi,Wissensintensive Dienstleister,Wissensintensive Dienstleister
runter,runter,runter,gleich,gleich,gleich,2,3,2,2,3,,2,2,3,3,4,1,1,1,3,1,3,2,3,5,1,1,1,1,1,3,2,2,2,3,1,3,1,2,,techDL,36,20-49,20-99,83.43636363636364,1,Infowi,Wissensintensive Dienstleister,Wissensintensive Dienstleister
hoch,hoch,hoch,hoch,hoch,hoch,5,5,1,2,3,,1,5,3,3,4,5,5,1,1,1,3,3,1,1,1,3,5,1,1,1,1,3,1,3,1,5,1,4,1,IKT-Dienstleister,28,20-49,20-99,127.1875,1,Infowi,IKT-Branche,IKT-Branche
hoch,hoch,hoch,hoch,hoch,gleich,3,4,3,3,3,,2,3,3,3,4,1,3,3,5,5,1,2,4,4,4,4,4,4,1,5,2,3,2,3,1,3,1,3,2,FuE,14,10-19,5-19,67.42105263157895,1,Infowi,Wissensintensive Dienstleister,Wissensintensive Dienstleister
runter,runter,runter,gleich,gleich,gleich,1,3,2,2,3,,2,1,3,3,2,1,3,1,1,2,1,1,1,1,1,1,1,1,1,1,,,,,,,,,,Maschinenbau,31,20-49,20-99,81.19565217391305,1,VG,VG,Maschinenbau
gleich,gleich,gleich,gleich,gleich,gleich,4,5,2,3,2,,1,5,3,3,5,,1,1,4,4,3,,4,3,,,,,,,,,,,,,,,,FuE,29,20-49,20-99,26.85714285714286,0,Infowi,Wissensintensive Dienstleister,Wissensintensive Dienstleister
hoch,hoch,gleich,gleich,gleich,gleich,3,4,2,2,3,,2,3,3,3,5,1,1,1,2,2,2,3,2,2,1,2,2,1,1,1,1,3,2,1,1,3,1,,2,ReSteuWip,75,50-99,20-99,86.62222222222222,1,Infowi,Wissensintensive Dienstleister,Wissensintensive Dienstleister
hoch,hoch,hoch,hoch,hoch,hoch,5,5,2,3,1,Datenschutzvorfälle,1,5,3,3,5,1,1,1,5,4,1,1,1,5,5,4,2,1,1,1,1,5,2,5,2,5,2,5,2,IKT-Dienstleister,480,250-499,>=100,35.70454545454545,1,Infowi,IKT-Branche,IKT-Branche
runter,runter,gleich,runter,runter,gleich,1,4,2,2,3,,1,2,3,3,3,1,1,1,2,2,1,1,1,2,2,1,1,1,1,1,1,4,1,5,1,5,1,5,1,UBeratung,8,5-9,5-19,205.9583333333333,1,Infowi,Wissensintensive Dienstleister,Wissensintensive Dienstleister
hoch,hoch,hoch,gleich,hoch,hoch,5,5,3,4,3,,3,5,1,3,2,1,2,2,5,5,2,2,5,5,5,3,3,4,1,3,,,,,,,,,,ReSteuWip,20,20-49,20-99,86.62222222222222,0,Infowi,Wissensintensive Dienstleister,Wissensintensive Dienstleister
gleich,gleich,runter,gleich,gleich,gleich,4,3,3,3,3,,3,4,3,3,2,1,1,3,4,4,1,1,4,4,3,3,3,4,3,5,1,4,2,4,1,4,1,4,1,techDL,7,5-9,5-19,289.140350877193,1,Infowi,Wissensintensive Dienstleister,Wissensintensive Dienstleister
gleich,runter,hoch,gleich,gleich,gleich,2,5,3,3,3,,2,4,3,3,4,1,1,5,5,5,1,1,5,4,5,5,4,5,1,5,,,,,,,,,,UBeratung,130,100-249,>=100,11.625,0,Infowi,Wissensintensive Dienstleister,Wissensintensive Dienstleister
runter,runter,gleich,gleich,gleich,gleich,3,5,2,3,3,,3,4,2,2,5,1,4,2,5,5,2,3,3,5,5,5,5,4,2,3,1,4,2,3,1,5,1,5,1,Werbung,24,20-49,20-99,39.93333333333333,1,Infowi,Wissensintensive Dienstleister,Wissensintensive Dienstleister
hoch,hoch,hoch,hoch,hoch,hoch,1,3,3,3,3,,3,5,3,3,3,1,5,2,3,3,,2,2,3,2,2,2,1,1,,2,1,2,1,1,3,1,3,2,ReSteuWip,72,50-99,20-99,86.62222222222222,1,Infowi,Wissensintensive Dienstleister,Wissensintensive Dienstleister
gleich,gleich,hoch,gleich,gleich,gleich,2,5,1,3,1,,2,4,1,3,2,4,4,2,5,3,2,2,4,4,4,4,3,1,1,1,,,,,,,,,,ReSteuWip,120,100-249,>=100,22.07692307692308,0,Infowi,Wissensintensive Dienstleister,Wissensintensive Dienstleister
runter,runter,runter,runter,runter,runter,3,3,3,3,3,,3,3,3,3,3,3,3,1,5,5,1,1,1,1,5,5,5,1,1,1,2,1,1,3,2,1,2,,1,IKT-Dienstleister,12,10-19,5-19,315.4047619047619,1,Infowi,IKT-Branche,IKT-Branche
gleich,hoch,gleich,gleich,gleich,hoch,5,4,2,3,,,1,5,3,3,,1,2,1,5,1,,1,1,3,1,1,2,3,2,3,,,,,,,,,,ReSteuWip,58,50-99,20-99,86.62222222222222,0,Infowi,Wissensintensive Dienstleister,Wissensintensive Dienstleister
hoch,,,gleich,,,3,3,3,4,3,,2,5,3,3,2,3,2,5,5,5,3,1,5,5,5,5,3,3,3,3,,,,,,,,,,UBeratung,5,5-9,5-19,205.9583333333333,0,Infowi,Wissensintensive Dienstleister,Wissensintensive Dienstleister
gleich,gleich,gleich,gleich,gleich,gleich,2,4,3,3,3,,1,2,3,3,2,1,1,1,5,5,3,1,5,4,3,1,1,5,,5,1,5,2,5,1,5,1,5,3,techDL,24,20-49,20-99,83.43636363636364,1,Infowi,Wissensintensive Dienstleister,Wissensintensive Dienstleister
runter,,runter,runter,,runter,1,3,3,4,3,,3,3,3,3,4,3,3,3,4,4,2,3,3,3,4,3,3,3,3,3,1,5,1,5,1,5,1,5,2,FuE,36,20-49,20-99,26.85714285714286,1,Infowi,Wissensintensive Dienstleister,Wissensintensive Dienstleister
hoch,hoch,gleich,hoch,hoch,hoch,5,5,2,3,3,,1,5,3,3,5,3,5,1,4,4,1,4,1,4,3,4,5,3,1,1,1,5,2,5,1,5,1,5,2,ReSteuWip,15,10-19,5-19,604.1142857142858,1,Infowi,Wissensintensive Dienstleister,Wissensintensive Dienstleister
